Time(s),Input,Output_Displacement,,,,,,
146.6,0.427,5.96,,,,,,
146.7,1.09,5.702,,,,,,
146.8,1.711,5.469,,,,,,
146.9,1.997,5.369,,,,,,
147,1.814,5.45,,,,,,
147.1,1.249,5.673,,,,,,
147.2,0.566,5.934,,,,,,
147.3,0.088,6.11,,,,,,
147.4,0.038,6.118,,,,,,
147.5,0.441,5.954,,,,,,
147.6,1.107,5.696,,,,,,
147.7,1.722,5.465,,,,,,
147.8,1.998,5.369,,,,,,
147.9,1.804,5.454,,,,,,
148,1.232,5.679,,,,,,
148.1,0.551,5.94,,,,,,
148.2,0.081,6.112,,,,,,
148.3,0.043,6.116,,,,,,
148.4,0.455,5.949,,,,,,
148.5,1.124,5.69,,,,,,
148.6,1.734,5.46,,,,,,
148.7,1.999,5.369,,,,,,
148.8,1.794,5.458,,,,,,
148.9,1.216,5.686,,,,,,
149,0.536,5.945,,,,,,
149.1,0.075,6.114,,,,,,
149.2,0.048,6.114,,,,,,
149.3,0.469,5.943,,,,,,
149.4,1.14,5.683,,,,,,
149.5,1.745,5.456,,,,,,
149.6,2,5.369,,,,,,
149.7,1.784,5.462,,,,,,
149.8,1.2,5.692,,,,,,
149.9,0.521,5.951,,,,,,
150,0.068,6.117,,,,,,
150.1,0.053,6.111,,,,,,
150.2,0.484,5.937,,,,,,
150.3,1.157,5.677,,,,,,
150.4,1.756,5.452,,,,,,
150.5,2,5.369,,,,,,
150.6,1.773,5.466,,,,,,
150.7,1.183,5.699,,,,,,
150.8,0.507,5.956,,,,,,
150.9,0.062,6.119,,,,,,
151,0.059,6.109,,,,,,
151.1,0.498,5.932,,,,,,
151.2,1.173,5.671,,,,,,
151.3,1.767,5.448,,,,,,
151.4,2,5.369,,,,,,
151.5,1.763,5.471,,,,,,
151.6,1.166,5.705,,,,,,
151.7,0.492,5.962,,,,,,
151.8,0.057,6.121,,,,,,
151.9,0.065,6.106,,,,,,
152,0.513,5.926,,,,,,
152.1,1.19,5.664,,,,,,
152.2,1.778,5.444,,,,,,
152.3,2,5.369,,,,,,
152.4,1.752,5.475,,,,,,
